AdditionalInfo,Name,Amount,PrintSize,PrintResolutionY,PrintResolutionX,Description,Weight,PagePerMinute,Brand,PrintingTechnology,FunctionType,Price,Size
"Частота процессора: 600 МГц  
Память: 256 МБ  
Нагрузка (в месяц, формат A4): до 30000 страниц  
Рекомендуемый ежемесячный объем печати: 250–2500 страниц  
  
**Сканер:**  
Разрешение при сканировании, оптическое: До 300 точек на дюйм (черно-
белый/цветной режим, АПД); До 600 dpi (цветной режим, планшетный сканер); До
1200 dpi (черно-белый/цветной режим, планшетный сканер)  
Максимальный размер области сканирования (планшет): 215.9 x 297 мм  
  
**Копир:**  
Скорость копирования (обычный режим): Черно-белая - До 28 копий/мин  
Разрешение при копировании (чёрный текст): 600 x 600 dpi  
Настройка уменьшения/увеличения копий: от 25 до 400%  
Количество копий, максимум: До 99 копий  
  
**Факс:**  
Быстрый набор, максимальное количество номеров: До 120 номеров (119 номеров
группового набора)  
Память факса: До 1000 страниц  
Охват вещания: 119

","
HP LaserJet Pro M227fdw (G3Q75A) ",8,A4,1200,1200,"**Повысьте эффективность работы.**  
Невероятно высокая скорость двусторонней печати обеспечивает профессиональное
качество документов и позволяет выполнять рабочие задачи в кратчайшие сроки.
Выберите подходящую модель принтера, например компактное МФУ с возможностью
быстрого выхода из спящего режима.

Сенсорный экран диагональю 2.7"" позволяет быстро находить необходимые
приложения и выполнять сканирование непосредственно на электронную почту, в
сетевые папки и в облако. Отправляйте на печать документы Microsoft Word и
PowerPoint прямо с USB-накопителя.

 **Оцените удобство и безопасность мобильной печати.**  
Технология NFC позволяет одним касанием передавать на МФУ документы с
мобильных устройств без подключения к сети. Откройте для своих сотрудников
преимущества прямой беспроводной печати с мобильных устройств без подключения
к корпоративной сети. Для отправки заданий печати с большинства смартфонов и
планшетов не потребуются специальные приложения.

**Качество HP и выгодная цена**

  * Благодаря неизменному качеству и выгодной цене оригинальных продуктов HP приобретать поддельные расходные материалы не имеет никакого смысла.
  * Благодаря предварительно установленному картриджу HP вы сможете приступить к печати сразу после распаковки принтера.

  

 **Создано для эффективной работы**

  * Это МФУ объединяет в себе возможности печати, сканирования и копирования, при этом занимает совсем немного места.
  * Вам не придется долго ждать Печать до 28 страниц в минуту, печать первой страницы всего за 6.8 секунды.
  * Экономьте электроэнергию благодаря технологии HP Auto-On/Auto-Off.
  * Успевайте сделать больше: устройство АПД поможет сэкономить ваше время.

  

 **Мобильная печать всего одним касанием**

  * Печать с iPhone и iPad с помощью технологии AirPrint с автоматическим подбором масштаба в соответствии с форматом бумаги.
  * С помощью функции HP ePrint можно выполнять печать непосредственно со смартфонов, планшетов и ноутбуков. Это так же легко, как отправлять сообщения по электронной почте.
  * Благодаря технологии Wi-Fi Direct можно выполнять печать напрямую с мобильных устройств без подключения к сети.
  * Технология Google Cloud Print 2.0 позволяет отправлять задания печати напрямую со смартфона, планшета или ПК на любой принтер компании.
  * Поддержка NFC

  

 **Неизменно высокое качество печати HP**

  * Черный тонер обеспечивает высокую контрастность черно-белых текстов, шрифтов и графических изображений.
  * Не покупайте поддельные расходные материалы, чтобы избежать проблем с качеством результатов.
  * Датчики контроля помогут отслеживать количество обработанных страниц, а специальная технология позволит оптимизировать потребление расходных материалов, чтобы печатать больше.
  * Быстро заменяйте картриджи с автоматическим удалением блокировки и легко открывающимися корпусами.

",9.4,28.0,HP,Лазерная печать (ч/б),МФУ,9146,403 x 407.4 x 311.5
"Лотки: 100 листов  
Печать на фотобумаге, матовой бумаге, глянцевой бумаге, карточках, конвертах  
Тип чернил: водорастворимые  
Количество контейнеров: 4  
Рабочая температура, °С: 10 - 35  
Формат фотографий, см: 9x13, 10x15, 10x18, 13x18, 13x20, 20x25  

","
Epson L312 (C11CE57403) ",5,A4,1440,5760,"Эксклюзивный принтер **Epson L312** создан специально для тех пользователей,
которым нужна высокосортная печать с низкой себестоимостью. Высокую скорость
печати в данном устройстве обеспечивает уникальная печатающая головка Epson
Micro Piezo, которая позволяет печатать со скоростью до 33 стр./мин. А низкой
себестоимости печати позволяет добиться использование емкостей для чернил
вместо картриджей.

 **Струйная печать без картриджей**  
Особенность всех устройств Фабрики печати Epson – это печать без картриджей.
Вместо картриджей Epson L312 использует специальные емкости, из которых
чернила поступают в печатающую головку через специальные тракты. При этом
уникальное строение емкостей и трактов гарантирует высокое качество печати и
надежность работы устройства даже без использования картриджей.

 **Возможность печати до 3-х лет без замены расходных материалов**  
Расходными материалами к **Epson** L312 служат контейнеры с чернилами высоким
ресурсом. Так четырех контейнеров с голубыми, пурпурными, желтыми и черными
чернилами хватит на печать 6500 цветных и 4000 черно-белых документов, то есть
при средней нагрузке в 300 стр. в месяц стартового набора чернил вам хватит
почти на 3 года печати без необходимости закупки расходных материалов!  
 **Высокая скорость печати**  
Кроме того **Epson** L312 обладает высокой скоростью печати: до 33 стр./мин.
Это позволяет сэкономить вам время, которое играет все большую роль в
современной жизни. Используя данное устройство, вы можете быть уверены в том,
что все необходимые документы будут распечатаны в максимально короткие сроки.

 **Высокое качество печати и надежность**  
Благодаря уникальной технологии печати Epson Micro Piezo и точному контролю
давления в емкостях с чернилами вы всегда получаете отпечатки превосходного
качества. Специально разработанные материалы, на основе которых изготовлены
компоненты устройства, обеспечивают долгий срок службы принтера и работу без
поломок.

 **Печать фото без полей**  
Для пользователей, которым нужна преимущественно печать цветных документов, но
при этом изредка хочется печатать фотографии будет очень полезна функция
печати фото формата 10 х 15 без полей. Теперь вы сможете распечатать ваши
любимые фотографии, которые будут радовать вас яркими цветами и оттенками.

 **Совместимые картриджи:**

Черный: Epson L100/L200 Black (C13T66414A)  
Голубой: Epson L100/L200 Cyan (C13T66424A)  
Пурпурный: Epson L100/L200 Magenta (C13T66434A)  
Желтый: Epson L100/L200 Yellow (C13T66444A)

",2.8,33.0,Epson,Струйная печать,Принтеры,4520,222 x 482 x 130
"Время прогрева: 25 секунд  
Оперативная память: 128 MБ  
Пиковые нагрузки: 20000 отпечатков в месяц  
Дуплекс: ручной  
Язык принтера: PCL6

","
Ricoh SP 212w (407691) 
",17,A4,1200,600,"**SP 212w** , компактный монохромный принтер формата A4, практически не
занимает места на рабочем столе. Благодаря полному фронтальному доступу
работать с устройством удобно и просто.

Поддержка беспроводного соединения стандарта Wi-Fi, режим ручной двусторонней
печати, встроенный лоток для бумаги и перезаправляемый картридж «все в одном»
делают **SP 212w** идеальным решением для малых и домашних офисов.

 **Особенности:**

  * Высокая скорость печати — 22 стр./мин.
  * Лоток для печати на 150 листов
  * Ручная двусторонняя печать
  * Поддержка PCL

  

",7.2,22.0,Ricoh,Лазерная печать (ч/б),Принтеры,3003,402 x 360 x 165
"Питание: 100–240 В, 50/60 Гц  
Рабочая температура: 15-30°C  
Относительная влажность воздуха при эксплуатации: 10-80%  
Максимальная загрузка бумаги: 60 листов обычной, 10 листов фотобумаги  

","
Canon PIXMA iP2840 (8745B007) ",6,A4,4800,600,,2.3,8.0,Canon,Струйная печать,Принтеры,1383,235 x 426 x 134
"Время вывода первой страницы: 7.8 с или менее Рабочая нагрузка: макс. 5000 стр
/ мес

","
Canon i-SENSYS LBP6030B (8468B006) ",8,A4,600,600,,5.0,18.0,Canon,Лазерная печать (ч/б),Принтеры,4406,364 x 249 x 199
"Поддерживаемые функции: Печать, сканирование и копирование  
Рекомендуемый ежемесячный объем печати: от 750 до 3000 страниц в месяц  
  
**Принтер:**  
Время выхода первой страницы: приблизительно 6.3 секунды или менее  
Двусторонняя печать: автоматическая  
Языки принтера: UFRII, PCL 5e¹, PCL6, Adobe PostScript  
Режим экономии тонера  
Безопасная печать  
Кнопка печати с USB-накопителя (JPEG/TIFF/PDF)  
Поддержка сервиса Виртуальный принтер Google  
iOS: AirPrint, приложение Canon PRINT Business  
Android: сертификация Mopria, подключаемый модуль Canon Print Service,
приложение Canon PRINT Business  
  
**Копир:**  
Скорость копирования A4: односторонняя: до 33 стр./мин; двусторонняя: до 16.8
стр./мин  
Время выхода первой копии: приблизительно не более 10 с  
Режимы копирования: Текст/Фото, Текст/Фото (качество), Фото, Текст  
Двустороннее копирование: 2 стороны на 2 стороны (автоматически)  
Количество копий: до 999 копий  
Другие функции: копирование со стиранием рамки, сортировка, 2 на 1, 4 на 1,
идентификационная карта копирования  
  
**Сканер:**  
Разрешение при сканировании: оптическое до 600 x 600 dpi, улучшенное качество
9600 x 9600 dpi  
Глубина цветного сканирования: 24 бита/24 бита (на входе/на выходе)  
Оттенки серого: 256 уровней  
Совместимость: TWAIN / WIA  
Максимальная ширина области сканирования: 216 мм

","
Canon i-SENSYS MF411dw with Wi-Fi (0291C022) ",3,A4,600,600,,19.0,33.0,Canon,Лазерная печать (ч/б),МФУ,12299,473 x 390 x 431
"**Печать:**  
Качество печати: до 9600 x 600dpi  
Языки принтера: UFR II, PCL 6  
Режим экономии тонера  
  
**Копировальный аппарат:**  
Скорость копирования: до 18 копий в минуту в режиме цветной и черно-белой
печати (A4)  
Время выхода первой копии: черно-белая или цветная - не более 14 секунд  
Количество копий: до 999 копий  
Коэффициент масштабирования: 25-400% с шагом 1%  
Копирование со стиранием рамки  
Сортировка, 2 на 1, 4 на 1  
Идентификационная карта копирования  
  
**Сканер:**  
Скорость сканирования: монохромное: 27 изобр./мин, цветное 14 изобр./мин  
Глубина цветного сканирования на входе и выходе: 24 бита  
Оттенки серого: 256 уровней  
Совместимость: TWAIN / WIA  
Сканирование в электронное сообщение, на ПК, USB-накопитель, FTP:
TIFF/JPEG/PDF/Compact PDF/PDF с возможностью поиска/PDF с шифрованием/PDF
(цифровая подпись)  
Сканирование с отправкой в облачные ресурсы: TIFF/JPEG/PDF/PNG  
  
**Сетевой протокол:**  
Печать: LPD, RAW, WSD-Печать (IPv4, IPv6)  
Сканер: Email, SMB, WSD-Scan (IPv4, IPv6), FTP-Scan, iFAX  
Службы приложений: Bonjour (mDNS), HTTP, HTTPS, DHCP, ARP+PING, Auto IP, WINS
(IPv4), DHCPv6 (IPv6)  
Управление: SNMPv1, SNMPv3 (IPv4, IPv6)  
Безопасность: IP/Mac фильтры, SNMPv3, SSL(HTTPS/IPPS), IEEE802.1x, шифрование:
WEP 64/128-bit, WPA-PSK (TKIP/AES), WPA2-PSK (AES)  
  
**Разная информация:**  
Рекомендуемый ежемесячный объем печати: 250 - 1500 страниц в месяц  
Производительность (максимум): 30000 страниц в месяц  
Память: 1 ГБ

","
Canon i-SENSYS MF633Cdw (1475C007) ",4,A4,1200,1200,"**Canon imageCLASS MF633Cdw** — компактное и простое в управлении МФУ формата
A4 с поддержкой Wi-Fi. Комплексное решение для небольших и домашних офисов.

Компактное лазерное МФУ **MF633Cdw** формата A4 с поддержкой Wi-Fi предлагает
все возможности высококачественной печати, сканирования и отправки факсов,
которые можно легко использовать на ПК, смартфоне или планшете.

 **Преимущества:**

  * МФУ формата A4 с поддержкой Wi-Fi и функциями высококачественной печати, копирования, сканирования и отправки факсов
  * Высокопроизводительная полноцветная печать со скоростью 18 стр./мин
  * Легкое управление благодаря интуитивному цветному сенсорному экрану
  * Высокая надежность и качество за счет сменных картриджей Canon 
  * Простая интеграция с ноутбуком, смартфоном и планшетом для мобильной работы
  * Совместимость с Apple AirPrint, Mopria и Google Cloud Print
  * Мощные функции сканирования для оцифровки, отправки и архивации бумажных документов
  * Интеграция с облачной средой упрощает доступ и отправку документов на ходу
  * Низкое энергопотребление
  * Ethernet и Wi-Fi для гибкого выбора подключения и сети

  

 **Особенности:**

  * Устройство автоматической подачи документов
  * Цветное копирование
  * Использование и обмен данными по сети
  * USB-подключение
  * Цветной сенсорный экран
  * Сканирование по сети
  * Сканирование
  * Сканирование на USB-накопитель
  * Сканирование и отправка на электронную почту и папку
  * Беспроводное использование и обмен данными
  * Поддержка планшетов и смартфонов

  

 **Устройство «все в одном», позволяющее повысить производительность**  
Лазерное МФУ **imageCLASS MF633Cdw** формата A4 предлагает предприятиям малого
бизнеса и индивидуальным пользователям отличный способ увеличения
производительности. Привлекайте клиентов полноцветными коммерческими и
маркетинговыми документами. Без труда сканируйте, отправляйте и архивируйте
объемные бумажные документы. Выполняйте копирование и отправляйте факсы в
любое удобное время. Компактный размер и умный дизайн в сочетании со скоростью
цветной печати 18 стр./мин делают его оптимальным начальным
полнофункциональным МФУ для вашего небольшого или домашнего офиса.

 **Простота в использовании и обслуживании**  
Вы будете приятно удивлены тем, как легко можно получить доступ к умным
функциям **MF633Cdw**. Многие из них управляются с помощью интуитивного
цветного сенсорного экрана с диагональю 5"" на передней панели, который легко
настраивается под ваш стиль работы. Таким образом, вы можете получить доступ
ко всем функциям **MF633Cdw** всего несколькими касаниями. Обслуживание
устройства тоже не потребует больших усилий.

**Создано для мобильной работы: в офисе и за его пределами**  
Если вы работаете так же, как и большинство современных сотрудников, вы
перемещаетесь между устройствами и местами в соответствии с требованиями вашей
рабочей нагрузки. Устройство **MF633Cdw** разработано с учетом ваших
потребностей: оно обеспечивает удобную интеграцию между всеми используемыми
устройствами — ПК/ноутбуком, планшетом и смартфоном. Благодаря поддержке
AirPrint и Mopria вы можете подключаться не только с вашего Mac или ПК через
Wi-Fi, находясь в офисе, но и с устройства iOS или Android, когда вы
находитесь в пути. Поддержка Google Cloud Print для печати через облачные
ресурсы. Загрузите бесплатное приложение Canon Print Business для устройств
iOS или Android, и все эти удобные возможности, помогающие экономить время,
окажутся у вас под рукой. Порт Ethernet обеспечивает удобное сетевое или
проводное подключение.

 **Сканирование, отправка и сохранение**  
Если вам необходимо регулярно сканировать документы в электронную почту,
отправлять их в облачные ресурсы или сохранять в цифровом формате,
**MF633Cdw** сделает вашу жизнь проще. Устройство подачи документов на 50
листов упрощает сканирование нескольких документов. Можно управлять
сканированием с ПК при помощи MF Scan utility или с мобильного устройства при
помощи бесплатного приложения Canon Print Business. С их помощью можно
загружать отсканированные документы непосредственно в облачные сервисы, такие
как Dropbox, и свободно получать к ним доступ независимо от того, где вы
находитесь. **MF633Cdw** отвечает всем требованиям динамичных компаний,
сотрудники которых хотят сохранять производительность, находясь в поездке.

 **Экологичность, управляемость, возможность интеграции**  
Хотя устройство **MF633Cdw** разработано главным образом для небольших и
домашних офисов, оно предлагает комплексный набор возможностей сетевой печати
и сканирования. Низкое энергопотребление в спящем режиме и в режиме ожидания,
а также энергосберегающая функция автоматического выключения, делают его
экологичным и экономичным выбором.

",23.0,18.0,Canon,Лазерная печать (цветная),МФУ,9699,451 x 460 x 400
"Частота процессора: 525 МГц  
Память: 512 МБ  

","
Canon i-SENSYS LBP251dw with Wi-Fi (0281C010) ",20,A4,1200,1200,"Компактный черно-белый лазерный принтер формата A4, который идеально подходит
для предприятий малого бизнеса и рабочих групп. Этот черно-белый лазерный
принтер формата A4 быстрый, удобный и надежный. С большим выбором возможностей
подключения к облачным сервисам и мобильным устройствам, он идеально подходит
для высококачественной печати в рабочих группах и на предприятиях малого
бизнеса.

 **Идеальный первый шаг к профессиональной печати**  
Хотите сделать первый шаг и получить принтер профессионального качества,
поскольку вам нужна более быстрая, высококачественная и надежная печать? Тогда
вам отлично подойдет черно-белый лазерный принтер **i-SENSYS LBP251dw**
формата A4. Предприятия малого бизнеса и рабочие группы могут выполнять
ежедневные задачи быстрее за счет высокой скорости печати 30 стр/мин и
возможности начать печать после бездействия или режима ожидания всего за
несколько секунд. А компактный размер и элегантный внешний вид делают его
идеальным для ограниченных пространств и помещений для работы с клиентами.

 **Неизменное качество, удобство эксплуатации**  
Высокая надежность и стабильное качество обеспечиваются при каждой замене
тонера, благодаря конструкции легко заменяемых картриджей Canon Все в одном.
Выберите картриджи с увеличенным ресурсом, если вы предпочитаете, чтобы
принтер работал дольше при минимальном вмешательстве. Необходимо заказывать и
отслеживать всего один картридж, что позволяет уменьшить административные
процедуры.

 **Мощная поддержка мобильной и облачной печати**  
Если вам и вашей команде требуется возможность легкого перемещения между
местами работы и устройствами, **LBP251dw** станет вашим идеальным принтером.
Независимо от того, где и как вы предпочитаете работать, принтер **LBP251dw**
всегда доступен и готов к работе. Печатайте с устройств iPhone или iPad через
Apple AirPrint, или с устройств Android с помощью сервиса Виртуальный принтер
Google, независимо от того, где вы находитесь — в офисе или за его пределами.

 **Готов к работе в сети и интеграции**  
 **LBP251dw** предлагает комплексные возможности удобной интеграции с ИТ-
сетями. Поддержка PCL5e/6 делает его идеальным выбором для управляемых сред; а
удаленный пользовательский интерфейс экономит ценное время, поскольку
менеджеры ИТ могут контролировать и обновлять настройки, не посещая
предприятия. Благодаря возможности подключения Wi-Fi и Ethernet в стандартной
комплектации, **LBP251dw** обладает всеми функциями, которые нужны вам, чтобы
идти в ногу с растущим бизнесом.

",12.4,30.0,Canon,Лазерная печать (ч/б),Принтеры,5999,400 x 377 x 298
"Лоток подачи бумаги: 100 листов  
Печать на фотобумаге  
Формат фотографий: 10x15; 13x18; 9x13; 13x20; 20x25; 10x18  
Тип чернил: водорастворимые Возможность печати на CD/DVD

","
Epson L850 (C11CE31402) ",11,A4,1440,5760,"Фотоцентр ""три в одном"" — **Epson L850** , который позволяет достигать
исключительного качества фотопечати. **Epson L850** — это уникальный фотоцентр
со встроенными емкостями для чернил, вместо картриджей, специально созданный
для тех, кому необходимо универсальное устройство способное сканировать,
копировать и печатать фотографии высочайшего качества с рекордно низкой
себестоимостью.

 **Струйная печать без картриджей**  
Особенность всех устройств Фабрики печати Epson — это печать без картриджей.
Таким образом конструкция **Epson L850** предусматривает встроенные емкости
для чернил. Оригинальные чернила Epson заправляются во встроенные емкости из
контейнеров по 70 мл. Уникальное строение емкостей гарантирует высокое
качество печати и надежность работы устройства даже без использования
картриджей.

 **Высокий ресурс расходных материалов**  
Расходными материалами к **Epson L850** служат контейнеры с чернилами высоким
ресурсом. Так шести контейнеров с голубыми, пурпурными, желтыми, светло-
голубыми, светло-пурпурными и черными чернилами хватит на печать 1800 цветных
фотографий формата 10 х 15.

 **Сканирование и копирование**  
Благодаря тому что устройство соединяет в себе функции принтера-сканера и
копира Вы сможете легко сканировать и копировать документы и фотографии в
любое время не выходя из дома.

 **Непревзойденное качество и скорость печати**  
Фотопринтер **Epson L850** идеально подходит как для печати фотографий
великолепного качества, так и для печати документов с высокой скоростью. Таким
образом печать водорастворимыми чернилами с разрешением до 5760 х 1440 точек
на дюйм и минимальной каплей всего в 1.5 пиколитра позволяет прекрасно
справляется с передачей даже самых сложных оттенков и цветовых переходов, а
технология печати каплями переменного размера дает возможность сохранять
высокую скорость.

**Печать фотографий напрямую без ПК**  
Теперь нет необходимости подключать ваш принтер к компьютеру: печатайте
фотографии с SD карт памяти, USB носителей или фотокамер. В этом вам помогут
картриддер и Pictbridge, а большой экран, диагональю 6.9 см. и сенсорная
панель управления позволят вам не только печатать, но и редактировать снимки.

 **Простота обслуживания**  
Особая конструкция емкостей и контейнеров с чернилами позволяет даже
неопытному пользователю с легкостью справиться с заправкой чернил. Вам не
понадобятся никакие дополнительные приспособления — просто переверните
контейнер носиком вниз и перелейте чернила в емкости.

 **Гарантия от производителя**  
Подтверждением высокой надежности Фабрики печати **Epson L850** является
гарантия от производителя, которая составляет 12 месяцев или 3000 отпечатков.

 **Совместимые картриджи:**

Черный: Epson L800 Black (C13T67314A)  
Голубой: Epson L800 Cyan (C13T67324A)  
Пурпурный: Epson L800 Magenta (C13T67334A)  
Желтый: Epson L800 Yellow (C13T67344A)  
Светло-голубой: Epson L800 Light Cyan (C13T67354A)  
Светло-пурпурный: Epson L800 Light Magenta (C13T67364A)

",9.1,37.0,Epson,Струйная печать,МФУ,12186,542 x 386 x 196
"Частота процессора: 600 МГц  
Память: 128 МБ  
Нагрузка (в месяц, формат A4): до 10000 страниц  
Рекомендуемый ежемесячный объем печати: 150–1500 страниц  
Лоток подачи на 150 листов  
Приёмный лоток на 100 листов  

","
HP LaserJet Pro M102w (G3Q35A) ",11,A4,600,600,"Оцените преимущества низкой стоимости печати и высокой производительности
принтера **HP LaserJet Pro**. Создавайте документы профессионального и
стабильного качества, не выходя за рамки бюджета.

 **Качество HP и выгодная цена**

  * Благодаря неизменному качеству и выгодной цене оригинальных продуктов HP приобретать поддельные расходные материалы не имеет никакого смысла.
  * Благодаря предварительно установленному картриджу HP вы сможете приступить к печати сразу после распаковки принтера.

  

 **Создано для эффективной работы**

  * Этот принтер объединяет в себе возможности печати и копирования, при этом занимает совсем немного места.
  * Вам не придется долго ждать. Печать до 22 страниц в минуту, печать первой страницы всего за 7.3 секунды.
  * Экономьте электроэнергию благодаря технологии HP Auto-On/Auto-Off.

  

 **Мобильная печать всего одним касанием**

  * Печать с iPhone и iPad с помощью технологии AirPrint с автоматическим подбором масштаба в соответствии с форматом бумаги.
  * С помощью функции HP ePrint можно выполнять печать непосредственно со смартфонов, планшетов и ноутбуков. Это так же легко, как отправлять сообщения по электронной почте.
  * Благодаря технологии Wi-Fi Direct можно выполнять печать напрямую с мобильных устройств без подключения к сети.
  * Технология Google Cloud Print 2.0 позволяет отправлять задания печати напрямую со смартфона, планшета или ПК на любой принтер компании.

  

 **Неизменно высокое качество печати HP**

  * Черный тонер обеспечивает высокую контрастность черно-белых текстов, шрифтов и графических изображений.
  * Не покупайте поддельные расходные материалы, чтобы избежать проблем с качеством результатов.
  * Датчики контроля помогут отслеживать количество обработанных страниц, а специальная технология позволит оптимизировать потребление расходных материалов, чтобы печатать больше.
  * Быстро заменяйте картриджи с автоматическим удалением блокировки и легко открывающимися корпусами.

",4.7,22.0,HP,Лазерная печать (ч/б),Принтеры,3605,364.7 x 247.3 x 190.6
"Максимальная нагрузка: 80000 страниц/мес  
Процессор: 1200 МГц  
Память: 256 МБ  

","
HP LaserJet Pro M402dne (C5J91A) ",16,A4,1200,1200,"**Высокая скорость работы. Надежная защита.**

Благодаря высокой скорости печати вам больше не придется ждать. Для выхода из
спящего режима этому принтеру требуется гораздо меньше времени по сравнению с
решениями конкурентов. Устройство обеспечивает более высокую скорость
двусторонней печати по сравнению с аналогичными решениями конкурентов. Будьте
уверены в надежной работе устройства с момента его запуска и до окончания
работы. Благодаря встроенным функциям защиты можно не беспокоиться даже о
серьезных угрозах.

 **Больше страниц. Выше производительность. Лучше защита**

Используйте оригинальные лазерные черные картриджи HP увеличенной емкости с
технологией JetIntelligence, чтобы получить больше качественных отпечатков, не
выходя за рамки бюджета. Добейтесь высокой скорости и стабильного качества
печати благодаря контрастному черному тонеру. Благодаря инновационной
технологии защиты от подделок вы гарантированно получите подлинное качество
HP. Устройство поставляется уже готовым к работе и содержит предварительно
установленные лазерные картриджи. При необходимости их можно заменить на
специальные картриджи увеличенной емкости.

 **Экономия энергии и удобное управление задачами**

Экономьте электроэнергию благодаря технологии HP Auto-On/Auto-Off3. Чтобы
значительно сократить расход энергии устройства по сравнению с конкурентами,
мы разработали оригинальные лазерные картриджи HP с технологией
JetIntelligence. Устройство не займет много места и отлично подойдет для
любого офиса. Управляйте устройствами и их настройками с помощью HP Web
Jetadmin, удобного инструмента, который включает в себя все необходимые
функции.

",8.82,38.0,HP,Лазерная печать (ч/б),Принтеры,7532,381 x 357 x 216
"**Сканер:**  
Тип: планшетный  
Поддерживаемые типы файлов сканирования: JPEG, TIFF, PDF, BMP, PNG  
Разрешение при сканировании, оптическое: до 1200 dpi  
Разрядность: 24 бита  
Максимальный размер области сканирования (планшет): 216 x 297 мм  
  
**Копир:**  
Разрешение при копировании (чёрный текст): до 600 x 300 dpi  
Разрешение при копировании (цветной текст и графические изображения): до 600 x
300 dpi  
Количество копий, максимум: до 9 копий  

","
HP DeskJet Ink Advantage 2135 (F5S29C) ",18,A4,4800,1200,"МФУ **HP DeskJet** — это идеальное решение для ежедневной печати, сканирования
и копирования. Оно поставляется готовым к работе и не требует сложной
настройки. Используйте недорогие струйные картриджи HP, чтобы сократить
расходы. Благодаря компактным размерам устройства вы также сможете сэкономить
пространство на рабочем месте.

 **Возможности:**

 **Профессиональное качество по доступной цене**  
Выполняйте высококачественную печать любых фотографий и документов благодаря
недорогим струйным картриджам HP.  
Выполняйте более высокие объемы печати при меньших затратах благодаря лучшему
в мире принтеру и оригинальным картриджам HP.

 **Все необходимое в одном устройстве**  
Откройте для себя возможности этого универсального решения. Это надежное МФУ
оснащено простыми и удобными функциями печати, сканирования и копирования
документов.

 **Можно приступать к работе сразу после установки**  
Устройство очень просто настроить. В нем предусмотрены удобные средства
управления для простой настройки печати, сканирования и копирования
документов.  
Компактное многофункциональное устройство легко поместится на столе, полке или
в другом удобном для вас месте.

 **Снижение воздействия на окружающую среду**  
Устройство соответствует стандарту ENERGY STAR. С его помощью вы сможете
сократить потребление электроэнергии без потери производительности.

",3.42,7.5,HP,Струйная печать,МФУ,1515,425 x 304 x 149
